year,speech
2013,"Mr. President. I associate myself with the remarks of my colleague from Utah. Senator BENNETT. He basically stated in very articulate terms how important President Gordon B. Hinckley was. not just to Senator BENNETT and myself. but to people all over the world. I express my deepest empathy. sympathy. and love to the family of Gordon B. Hinckley. I agree with Senator BENNETT. that President Hinckley in dying was happy to go and again be with his beloved eternal companion. Marjorie. whom he missed. who died about 4 years before him. and to be with others he has known here on this Earth. and others he would like to know who helped to make this country the greatest in the world. and many others as well. I extend my deep sympathy to his familya wonderful family. they are terrific people. President Hinckley was as ecumenical as a person could be. He led a worldwide church. the fifth largest church in America. the Church of Jesus Christ of Latterday Saints. He basically taught all of us to understand that all religions are good and that we should work together. I dont think there has been a humanitarian mission or a major disaster anywhere in the world where the Church of Jesus Christ of Latterday Saintsnicknamed the Mormonshasnt cooperated with Catholic charities and other Christian charitiesespecially Catholic charitiesto immediately go into action and provide the needed food. clothing. pharmaceuticals. et cetera. all over the world. These two charities have done so much. He made sure our members13 million strong around the worldparticipated in each humanitarian concern. In fact. we have thousands and thousands of humanitarian missionaries all over the world. Many are older people who are retired and are giving 18 months. or even more. of their timeand some lessto be able to bring humanitarian help to people all over the world. This man led that. He was also a great business leader. Imagine. we had a man like this run this very important worldwide church. Senator BENNETT mentioned his sense of humor. You hardly heard a set of remarks by President Hinckley where he didnt very wittily make his points even better than he would have if they were just stern and tough. He was never stern and tough. unless it was essential. He was always kind and loving. He was kind to me. Elaine. my wife. and I personally love him and we are going to miss him very much. He traveled all over the world. I have traveled all over the world. and generally have done it on military planes with military liaisons helping us and carrying our bags. doing everything to make it a reasonable trip. I come back beat every time. In every case. I wanted to kiss the ground when I got back here. He traveled extensively all over the world. almost a million miles. In that regard. I pay tribute to Jon Huntsman. Sr.. who made it possible in his later years for him to have a very good airplane that I think extended his life for a longer period of time for the benefit of mankind all over this world. It was a wonderful thing. He had love for all human beings and he expressed that love not only through his words but also through his actions. I might add that. as Senator REID mentioned. he established the perpetual education fund where members of our faith donate millions of dollars every year to help unfortunate young people in these foreign lands to be able to go to school and raise their educational level so they can become leaders in their own country. and so they can make great contributions. I think it is one of the most inspired things I have ever seen. We have thousands of young men and women who are now leaders in their countriesteachers. doctors. lawyers. and othersall because of the vision of this great man. whom we call a prophet. I might mention that in his travels he dedicated dozens of temples. the most of any president of the church. all over the world. To LDS people those temples are extremely important. We believe marriage is so sacred and it is for all eternity. not just this life. Frankly. we try to live that way. Many do. These temples are extremely important to us. He went all over the world doing it. I can truthfully say this is a man I loved. He was a profound influence on Senator BENNETT. me. and millions of others. He was a man who got along with leaders of other faiths. He taught us we must respect everybody. Today I add my voice to those of 13 million other members of the Church of Jesus Christ of Latterday Saints in bidding farewell to our beloved prophet. President Gordon Bitner Hinckley. His death late yesterday in his home in Salt Lake City has reminded us that all good things must come to an end. It is a sad day for all Utahns. We have lost our friend. our leader. and our fellow servant. President Hinckley lived great. and he died great in the eyes of God and his people. leaving behind him a fame and a name which will be known for generations to come. In our effort to follow in President Hinckleys footsteps. Latterday Saints found they had to lengthen their stride to keep up with him. Even into the sunset of his life. President Hinckley was indefatigable. He set a vigorous pace. traveling the world and sharing his message of service. love. and compassion with millions of all faiths. Everywhere our prophet traveled. he succored the weak. lifted the hands which hung down. and strengthened the feeble knees. When I think of the blessing President Hinckley was to those around him. I am reminded of the words from the great Mormon hymn. ""Every day some burden lifted. every day some heart to cheer. every day some hope the brighter. blessed honored pioneer."" President Hinckley was born to humble surroundings on June 23. 1910. in Salt Lake City. UT. He attended public schools. and graduated with a bachelors of arts from the University of Utah. His first job was as a newspaper carrier for Utahs Deseret News. This modest start with a newspaper was a prelude of things to come. President Hinckley became the most media savvy leader the LDS Church has ever known. sharing his warmth and spirit with countless reporters. cultivating great friendships with notables like Larry King and Mike Wallace. Wallace once described President Hinckley as ""a man I admire and I love really. because hes just an extraordinary guy."" As many Latterday Saints do. Gordon B. Hinckley served a mission for the church while he was young. President Hinckley served in Great Britain in the 1930s. sharing the gospels message of peace and hope during a time of great political and economic turmoil. Discouraged by the lack of receptivity he found among the Britons. he confided his dismay to his father. who instructed the young Gordon to ""forget himself and go to work."" Young Gordon did. both in Great Britain and in the 70 years of service that followed. His love of God fueled his love of country. President Hinckley carried the torch of patriotism. and the spirit of America burned in his heart. He once said. ""I love America for [its] great constitutional strength. for the dedication of its people to the peace and the prosperity of the entire earth. I love America for the tremendous genius of its scientists. its laboratories. its universities. its researchers. and the tens of thousands of facilities devoted to the improvement of human health and comfort. to the extension of life. to better communication and transportation. Its great throbbing and thriving industries have blessed the entire world. The standard of living of its people has been the envy of the entire Earth. Its farmlands have yielded an abundance undreamed of by most people of the Earth. The entrepreneurial environment in which has grown its industry has been the envy of and model for many other nations."" President Hinckleys patriotism inspired him to great acts of civic service. in addition to his church duties. He was a chairman or board member of many businesses and educational entities. He received honorary doctorates from five colleges and universities. the Distinguished Service Award from the National Association for the Advancement of Colored People. the Silver Buffalo Award from the Boy Scouts of America. and special recognition for his contributions to tolerance from the National Conference of Christians and Jews. President Hinckleys ministry earned him national prominence. In 2004. President George W. Bush awarded our prophet with the Presidential Medal of Freedom. the Nations highest civil award. President Hinckley was one of the spiritual leaders President Bush invited to the White House following the September 11 attacks. It was a great honor. both for him and our faith. that the President invited him to that gathering. A few months later. on the eve of the Winter Olympics in 2002. President Bush said. ""President Hinckley represents a great religion. he is a strong part of the American scene."" But President Hinckley never let his love of the United States obscure his vision for the rest of the world. Prior to becoming the LDS president in 1995. Hinckley supervised the churchs organization in Asia. Europe. and South America. During his tenure. the number of members living inside North America was surpassed by those living outside of it. The nations of the Earth heard his voice and he brought them a knowledge of the truth by the wonderful testimony which he bore. As president. he administered to both the ecclesiastical and temporal needs of the church. whose 13 million members are spread over some 160 nations and territories. President Hinckley lifted his voice on every continent. in cities large and small. from north to south and east to west across this broad world. One global vision President Hinckley had for the LDS Church was a perpetual education fund. whereby members in wealthier nations could donate to the education of those in developing nations. thereby empowering them to help themselves and strengthening the infrastructure in struggling parts of the world. particularly Latin America. When he became president of the church in 1995. the church had only 47 temples. our special meeting houses such as the magnificent one in nearby Kensington. MD. Thanks to President Hinckleys vision of expansion. today there are 124 in operation. and 12 more are under construction. One of his first messages upon becoming our prophet in 1995 was a proclamation to the world. declaring the divine nature of the family unit and providing direction on how to nurture strong family relationships. There is no greater duty or privilege among the Latterday Saints than to serve our families. President Hinckley admirably demonstrated that service as a grandfather. father. and husband to his eternal companion. Marjorie. who walked side by side with him for twothirds of a century. Now he and Marjorie are walking together in the fields of paradise. enjoying a richly deserved peace in the Lord. I am sure at this time he would remind us that death is the great equalizer. No matter what a man or woman may accomplish in this life. this final inevitability is waiting for them. Shortly before his own passing. perhaps seeing the end was nigh. President Hinckley told church members. ""A man must get his satisfaction from his work each day. must recognize that his family may remember him. that he may count with the Lord. but beyond that. small will be his monument among the coming generations."" Our heads are bowed now. as we bid him farewell. Gordon Bitner Hinckley joins the ranks of departed prophets. on whose shoulders he stood and in whose mighty company he can now proudly mingle. God be with you. our friend. till we. meet again. I have to say. he stood for everything that was good. and I love him. I yield the floor and suggest the absence of a quorum."
2013,Mr. President. I ask unanimous consent that the order for the quorum call be rescinded.
2013,Mr. President. I have sought recognition to speak briefly in opposition to the motion to invoke cloture. The amendment which I have filed goes to the heart of the issue on removing liability from the telephone companies to impose retroactive immunity. The amendment which I have filed and has been discussed on the floor of the Senate would substitute the Government for the party defendant. where the Government would have the same defensesno more. no less. For example. the telephone companies do not have the defense of governmental immunity. and the Government. when substituted. would not have the defense of governmental immunity. The telephone companies can plead state secrets to foreclose the litigation. and when the Government would be substituted. for example. the Government could assert the doctrine of state secrets in order to foreclose the litigation. If the motion to invoke cloture is granted. I am advised by the Parliamentarian my amendment would not be germane and. therefore. would be stricken. We went through a long session last year where the argument was made. repeatedly and persuasively. not to invoke cloturethe argument advanced on this side of the aislein order to give Members on this side of the aisle an opportunity to propose their amendments. Now we have the first situation sought to be applied. and it is my hope this body will reject the cloture motion. There has been very little time spent on this very important subject in this body. and when you have a matter of the importance of retroactive immunity. where you are going to shut off the courts of the United States from hearing cases that are already pending. there ought to be time for consideration of an amendment such as the one Senator WHITEHOUSE and I have offered to substitute the U.S. Government. The purpose of our amendment is to comport with the basic constitutional provision of separation of powers. which is the cornerstone of the Constitution. and we have found. regrettably. it has been inadequate to have congressional supervision. congressional oversight. because of its ineffectiveness. For example. when the Judiciary Committee seeks to obtain records on the destruction of CIA tapes. you find the administration resisting and the inevitable argument of politics. When the court issues an order. as the Federal Court did last week for a report on the destruction of documents. seeking to find out what happened on the destruction of the CIA documents. the court cant be charged with politics. We find in Rasul. and in other litigation matters. the judicial branch has been effective in maintaining the separation of power. One further comment. It is a surprise to me that the amendment which I have offered with Senator WHITEHOUSE has been ruled nongermane. I took a look at Websters International Dictionary and germane is defined as: closely or significantly related. relevant. pertinent. closely akin. I consulted with a Parliamentarian and asked why our amendment was ruled as nongermane. and the answer given was because there was no specific statement of the underlying bill on governmental liability. In pursuing the issue with the Parliamentarian. I then said: I am going to seek to change the rules. It seems to me peculiar. if not absurd. that my amendment. the SpecterWhitehouse amendment. would not be germane under the common meaning of the English language. I said: Suppose we change the rules to provide that it was relevant? And the answer I got. and I dont want to misquote anybody. was that: Yes. that would stand the test of relevancy. As he put it. a more permissive standard. So then I checked the definition of relevant in Websters International Dictionary. and it says: Bearing upon or connected with the matter in hand. to the purpose. pertinent. raise. lift up. syn applicable. germane. appropriate. suitable. fitting. Well. the key part about the definition of relevant is that one of the synonyms is germane. just as one of the synonyms of germane is relevant. Now. it is a loss to me. I have been here a while. and I have had a hard time understanding the ruling of what is germane. and I have never seen one as close to the core point as putting the Government as a substitute for the telephone companies. but somehow it is not germane. So I wish to put my colleagues on notice that I intend to try to change the rules. I cant see why one is necessary when Websters has germane as a substitute for relevant and relevant as a substitute for germane. If the Parliamentarian thinks that relevant is OK. it is. again. hard for me to see why germane is not. A little surprising.
2013,Mr. President. will the Senator yield for question? I dont want to interrupt his comments.
2013,I will.
2013,Mr. President. morning session is up at 3. and I am scheduled for 15 minutes. I might ask to extend the time. I dont know how much time the Senator is going to use. but I want to make certain I have the opportunity that was previously ordered. for 15 minutes on this side.
2013,Mr. President. how much additional time does the Senator from Pennsylvania need?
2013,Less than a minute.
2013,Let me ask unanimous consent that we extend by 5 minutes the time for morning business so it terminates at 3:05.
2013,I thank my colleague for his courtesy.
2013,I thank the distinguished Senator from North Dakota. Well. I have made my argument. I think it is important to have a ruling. a vote by this body on whether we are going to apply retroactive immunity to the telephone companies. I said on the floor last week that if my amendment is not adopted. I will support retroactive immunity. I think it is a bad practice. but I think. as bad as that practice is. it would be worse to cut off the information which our intelligence community thinks we need. I think it is not advisable. And when we have a method of having both objectives. that is to have the Government have access to the information and at the same time not impose the cutting off of the judicial system for checks and balances. I think that ought to be adopted. And further. a final comment on the hardtounderstand definition of germane. The dictionary defines it as being relevant. and the dictionary defines relevant as being germane. with the Parliamentarian giving a supplemental opinion that if the standard was relevance. it would be appropriate to have the amendment. I thank the Chair. and I yield the floor.
2013,Mr. President. tonight we will hear from the President in his annual State of the Union Address. I know the President is expected to talk a great deal about the economy and the need for an economic stimulus package. I wanted to talk for a moment about this because I think it is important for us to understand what is happening to our economy. I know there are some who think the field of economics is some field with precision and elegance and that we are dealing with the ship of state. If we can find our way to the engine room and find all the knobs and gauges and valves and levers and turn them the right way. such as providing an investment credit and bonus depreciation. that somehow we will get this ship of state moving again. Of course. that is not what is at stake at all. There isnt an engine room with knobs and valves and gauges. This is the field of economics. which I have said previously is a lot like psychology pumped up with helium. So we talk a lot about knowing what is going on. The fact is we are going to now do a stimulus package because there is a notion that there is a problem with the economy. Well. there is more than a problem. there is a very serious problem with this economy. Take a look at the stock market. which is a barometer of confidenceup and down similar to a yoyomostly down. The housing market has cratered. with construction of new homes and apartments in 2007 down 25 percent from the prior year. That is one of the giant job engines in our economythe housing market. The unemployment rate has jumped. with some 1.4 million workers without a job for 27 months or longer. The trade deficit recently hit a 14month high. Oil prices are still way up. Retail sales are their worst in years. So we have a very serious problem. Now. the Federal Reserve Board took bold action last week and that is unusual for the Federal Reserve Board. They all wear gray suits and wirerimmed glasses and seldom do anything that is very bold. but last week they did. They cut interest rates by threequarters of 1 percent. So the expectation is that because the Fed is taking that action and seems to be very concerned about the economy. that we should take a look at our fiscal policy. so there is talk about a stimulus. Frankly. I think a stimulus package is fine. I dont think it does all that much. But the absence of doing something on the Senate side of Congress would send the wrong signal. Psychologically. it is important we work on a stimulus. We are talking about a stimulus that is probably 1 percent of our economy. so it is not exactly going to jump start the American economy. In addition. if all we do is a stimulus package and we continue to ignore the fundamentals. the things that are structurally wrong in this economy. the things that have not just caused the economy to be in some trouble but caused the American people and people all around the world to look at us and say: You know something. you are off track. You are not addressing the things that matter. and this is unsustainable. If we dont do something to address those things. we will not be addressing the basic problem of our economy. So let me talk about that. No. 1. a fiscal policy. A reckless fiscal policy. I mean. in recent years. think of it. This administration inherited a large budget surplus. Then we got hit with a recession. a war in Afghanistan. a war in Iraq. a war on terrorismand a whole series of eventsincluding Hurricane Katrina. Many of us said to the President: Dont propose we spend surpluses that dont yet exist. Let us be conservative. He said: Katy bar the door. let us have big tax cuts and most of it for the wealthy. and he pushed it through Congress. Now. I didnt push for it. he did. and we ran up a huge deficit because of all these unexpected circumstances we were confronted with. So now. in recent years. we have sent soldiers off to war. and the President says to Congress: We are sending soldiers to go fight. but we dont intend to pay for it. I want the Congress to provide emergency spending in order to pay for that. and we will add it to the debt. Last year. he asked Congress for $196 billion for the current fiscal year. That is $16 billion a month. $4 billion a week. none of it paid for. and all of it added to the debt. As if to say to the soldiers: You go fight. and when you come home. we will have you and your kids pay the bills. That is a fiscal policy that is completely off balance. We are going to borrow about $600 billion this year. That is how much will be added to the debt. I know that is not what they say the deficit is. They say the deficit is lower because. among other things. they are taking all the Social Security surplus from the trust funds and using it to show a lower deficit. We are going to borrow about $600 billion a year to sustain the budget policies of this administration. Add to that a $700 billion to $800 billion a year trade deficit. $2 billion a day every single day. and you are talking about a combined red ink in our budget and trade policies of some $1.3 trillion. That is almost 10 percent of the American economy. Think of that. That is unsustainable. Now. add to a reckless fiscal policy and a trade policy in which we are hemorrhaging red ink and exporting American jobs. regulators who were asleep on the jobpeople who came to Government but didnt want to regulateand the subprime loan scandal occurred right under their noses. We all heard the advertisements. When you turned on the television. you heard the ads. It couldnt have escaped the notice of the regulators. surely. The ads said: Have you been bankrupt? Do you have trouble getting credit? Have you been missing your house payments? Come to us. We have a loan for you. We will give you a new home mortgage. And so they did. with a teaser rate at 2 percent and unbelievable circumstances. Everybody was making lots of money. The brokers were making millions. the mortgage banks were making a lot of money. and then they were packing these mortgage loans. the good ones. with the bad ones. just like they used to pack sausage with meat and sawdust. They would use the sawdust as filler back in the old days. Well. during unregulated times. just like packing sawdust into sausages. what these folks did is. they took good loans and bad loans. packaged them up. They sliced them up. then they securitized them. and sent them out. sold them. and everybody was happy and everybody was fat and everybody was making a lot of money. until it all came home to roost. A whole lot of folks could not make housing payments. So what we found with the subprime loan scandal is 2.2 million families with subprime loans will lose their homes to foreclosure. 7.2 million with subprime mortgages have an outstanding mortgage value of $1.3 trillion. And when those interest rates reset. a whole lot of them will not be able to pay the bills to keep their homes. All of this happened under the nose of regulators who came to Government not wanting to regulate. And it caused severe damage to our country. Now. add to that a reckless fiscal policy. a trade deficit in which we are hemorrhaging in red ink and shipping jobs overseas and a scandal in the home mortgage industry that caused enormous damage to our country. made a lot of folks rich in the short term. and victimized a lot of others. Add to that the unbelievable speculation that is going on in hedge funds. most all of it outside of the view of regulators. Hedge funds are about $1.2 to $1.5 trillion in value. but that does not describe their importance to the economy. They are heavily leveraged. That $1.2 to $1.5 trillion of hedge funds is engaged in onehalf of all of the trades every day on the New York Stock Exchange. They are engaged in. among other things. credit default swaps. There is something called credit default swaps. derivatives. with notional values of $43 trillion. There is so much unbelievable speculation with dramatic amounts of leverage in hedge funds and derivatives that it is scary. Nobody knows what is going on because it is outside the view of regulators. That is the way they want to keep it. We will talk about stimulus. we will talk about shortterm measures. But if we do not deal with this issue of a fiscal policy that is way off track. a trade policy that is an abject failure. regulators who have no interest in regulating. scandals will develop and mature right under their noses. this country is not going to recover. Our economy is not going to thrive and grow. It is fine to do a stimulus package of 1 percent of GDP. I do not object to that. We will borrow the money from China. likely. to do it. perhaps put some money in the hands of people who will go to WalMart and buy goods from China. for all I know. But. psychologically. I think it is fine to create a fiscal policy initiative that compliments what they are doing at the Fed with monetary policy. But that will not solve the underlying problems in our economy. We have deep abiding problems in fiscal policy. trade policy. and regulatory failures. This Congress and this President have a responsibility to address them. Talking about stimulus. and just talking about stimulus. means we have not addressed that which moves this ship of state forward in the future. creating expansion opportunities and jobs and economic health. The only way we do that is to stare truth in the eye and understand what is causing the problems in the country and how to fix it. There is an old saying on Wall Street I was told by a friend: You cannot tell who is swimming naked until the tide goes out. Well. the tide has gone out. and now we are going to see some sights that are not very pretty. It has to do with speculation and a whole series of things that we have to correct. And my hope is. starting this evening at the State of the Union Address and following that. at last long last. we might see a President and a Congress work together to face the truth about fiscal policy. trade policy. and inept regulation that has put this country in significant difficulty and trouble. We need not have a future that manifests that trouble forever. If we take bold action and courageous action to understand what is wrong and what the menu of items are that we need to go to fix it. I think we can have a much better and brighter economic future in this country. I want to be a part of that work. and I know many of my colleagues do as well. So lets hope the first step to do that begins this evening at the joint session of the Congress at the State of the Union Address.
